RAG_Type,Model_Type,Precision,Recall,F1,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L
FeedbackLoopRetrieval,gemma2:2b,0.7892,0.8525,0.8196,0.087,0.1758,0.1418,0.0288,0.0851
FeedbackLoopRetrieval,gemma2:2b,0.8066,0.8604,0.8327,0.1419,0.2298,0.1905,0.0806,0.1111
FeedbackLoopRetrieval,gemma2:2b,0.7879,0.8457,0.8158,0.1351,0.2299,0.2243,0.0381,0.1121
FeedbackLoopRetrieval,gemma2:2b,0.8306,0.864,0.847,0.2931,0.2407,0.2892,0.0741,0.1928
ExplainableRetrieval,gemma2:2b,0.853,0.8578,0.8554,0.2187,0.348,0.4,0.2192,0.2667
ExplainableRetrieval,gemma2:2b,0.9603,0.9021,0.9303,0.3806,0.3983,0.5128,0.2632,0.359
ExplainableRetrieval,gemma2:2b,0.8092,0.8688,0.8379,0.1429,0.3506,0.2278,0.0769,0.1392
ExplainableRetrieval,gemma2:2b,0.8457,0.8894,0.867,0.1776,0.3586,0.3826,0.1062,0.2783
ExplainableRetrieval,gemma2:2b,0.8739,0.916,0.8944,0.3544,0.403,0.4948,0.2105,0.3505
SimpleRAG,qwen2.5:0.5b-instruct,0.8897,0.8919,0.8908,0.4,0.3954,0.3579,0.1505,0.3158
SimpleRAG,qwen2.5:0.5b-instruct,0.9715,0.94,0.9555,0.5721,0.6558,0.6667,0.4878,0.5476
SimpleRAG,qwen2.5:0.5b-instruct,0.9322,0.8977,0.9146,0.4343,0.3597,0.5484,0.3,0.4194
SimpleRAG,qwen2.5:0.5b-instruct,0.7646,0.8851,0.8204,0.0657,0.3041,0.1326,0.058,0.121
SimpleRAG,qwen2.5:0.5b-instruct,0.9141,0.9048,0.9094,0.3906,0.4571,0.4,0.1837,0.32
AdaptiveRetrieval,qwen2.5:0.5b-instruct,0.8914,0.8929,0.8922,0.411,0.4179,0.3656,0.1538,0.3226
AdaptiveRetrieval,qwen2.5:0.5b-instruct,0.9715,0.94,0.9555,0.5721,0.6558,0.6667,0.4878,0.5476
AdaptiveRetrieval,qwen2.5:0.5b-instruct,0.9028,0.8989,0.9008,0.3393,0.3222,0.3768,0.1791,0.3188
